日期        夜间站数      白天站数闵行    宝山    嘉定    崇明    徐家汇  南汇    浦东    金山    青浦    松江    奉贤    闵行    宝山    嘉定    崇明    徐家汇  南汇    浦东    金山    青浦    松江    奉贤    
2018-01-01   1   5       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
2018-01-02   2   6       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
2018-01-03   3   7       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
2018-01-04   4   8       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
2018-01-05   0   0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
2018-01-06   0   1       0       0       0       0       0       0       0       0       0       0       0       0       1       0       0       0       0       0       0       0       0       0
2018-01-07   0   0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
2018-01-08   0   6       0       0       0       0       0       0       0       0       0       0       0       1       1       1       0       1       1       1       0       0       0       0
2018-01-09   0   0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
2018-01-10   0   0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
2018-01-11   0   0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
2018-01-12   0   0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
2018-01-13   0   0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
2018-01-14   0   0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
2018-01-15   0   0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
2018-01-16   0   0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
2018-01-17   0   4       0       0       0       0       0       0       0       0       0       0       0       1       0       0       0       1       0       0       0       1       1       0
2018-01-18   0   2       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       1       0       0       0       1       0       0
2018-01-19   0   0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
2018-01-20   1   0       0       0       0       0       1       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
2018-01-21   0   0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
2018-01-22   0   0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
2018-01-23   0   0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
2018-01-24   0   0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
2018-01-25   0   0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
2018-01-26   0   0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
2018-01-27   0   0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
2018-01-28   0   0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
2018-01-29   2   7       0       1       0       0       1       0       0       0       0       0       0       1       1       1       1       1       0       0       1       0       1       0
2018-01-30   6  10       1       1       0       0       1       1       1       0       1       0       0       1       1       1       1       1       1       1       1       1       1       0
2018-01-31   1   5       0       0       0       0       1       0       0       0       0       0       0       0       0       1       1       1       0       0       0       1       1       0
